1465, 460-1020 
1363, 111-1020 
5086, 160-1020 
1999, 599-1020 
2125, 235-1020 
1808, 235-1020 
1868, 235-1020 
2147, 235-1020 
1812, 235-1020 
2147, 235-1020 
2280, 345-1020 
2200, 345-1020 
2219, 345-1020 
2274, 345-1020 
5148, 132-1020 
2235, 397-1020 
2233, 397-1020 
1619, 169-1020 
2309, 381-1020 
1063, 381-1020 
5119, 169-1020 
1388, 155-1020 
1501, 155-1020 
5091, 169-1020 
1620, 169-1020 
5157, 169-1020 
5102, 169-1020 
1620, 169-1020 
5119, 169-1020 
830, 330-1020 
2258, 335-1020 
2301, 335-1020 
2279, 322-1020 
2221, 322-1020 
2803, 322-1020 
1413, 100-1020 
1467, 100-1020 
2032, 599-1020 
1959, 599-1020 
2019, 599-1020 
1981, 599-1020 
704, 125-1020 
2076, 125-1020 
1208, 199-1020 
1285, 199-1020 
1285, 199-1020 
2175, 199-1020 
1272, 199-1020 
2159, 199-1020 
1335, 199-1020 
1231, 360-1020 
1243, 360-1020 
1818, 203-1020 
2251, 333-1020 
2245, 333-1020 
1818, 203-1020 
1891, 203-1020 
2167, 333-1020 
5063, 120-1020 
1375, 120-1020 
5038, 120-1020 
5134, 150-1020 
5134, 120-1020 
1309, 199-1020 
1504, 120-1020 
1419, 120-1020 
5148, 120-1020 
5038, 120-1020 
2062, 116-1020 
2010, 116-1020 
2062, 116-1020 
2010, 116-1020 
2183, 334-1020 
1991, 471-1020 
1288, 471-1020 
5138, 209-1020 
5016, 209-1020 
5021, 209-1020 
5131, 209-1020 
2157, 40-1020 
1376, 106-1020 
2192, 40-1020 
2157, 40-1020 
2157, 40-1020 
1376, 106-1020 
1232, 361-1020 
2296, 334-1020 
2296, 334-1020 
1420, 106-1020 
1256, 361-1020 
1061, 361-1020 
5024, 209-1020 
5021, 209-1020 
5147, 209-1020 
5024, 209-1020 
1991, 445-1020 
1427, 460-1020 
1459, 460-1020 
2307, 340-1020 
2225, 330-1020 
2213, 330-1020 
2274, 330-1020 
1924, 224-1020 
1969, 598-1020 
2263, 330-1020 
1412, 184-1020 
1514, 184-1020 
2150, 353-1020 
816, 353-1020 
2284, 340-1020 
1309, 425-1020 
2328, 340-1020 
1264, 425-1020 
1289, 425-1020 
5120, 120-1020 
5122, 120-1020 
2305, 310-1020 
5137, 120-1020 
1381, 120-1020 
5054, 120-1020 
2227, 306-1020 
2339, 306-1020 
2236, 306-1020 
2083, 105-1020 
2078, 105-1020 
2173, 306-1020 
2343, 306-1020 
2246, 306-1020 
2198, 310-1020 
5060, 130-1020 
2227, 385-1020 
2259, 385-1020 
5142, 130-1020 
5077, 130-1020 
5118, 130-1020 
2802, 385-1020 
2295, 385-1020 
2279, 385-1020 
2295, 385-1020 
5124, 150-1020 
5047, 150-1020 
5136, 150-1020 
2305, 310-1020 
5125, 150-1020 
5043, 150-1020 
5056, 150-1020 
5065, 130-1020 
5150, 130-1020 
5007, 130-1020 
5068, 150-1020 
5069, 150-1020 
5146, 130-1020 
1256, 412-1020 
1049, 412-1020 
1937, 412-1020 
1049, 412-1020 
1523, 412-1020 
1523, 412-1020 
1256, 412-1020 
2038, 61-1020 
2045, 61-1020 
1620, 111-1020 
2039, 61-1020 
2041, 61-1020 
1619, 111-1020 
1604, 111-1020 
1604, 111-1020 
5102, 111-1020 
5001, 111-1020 
1623, 111-1020 
5091, 111-1020 
5157, 111-1020 
1623, 111-1020 
1986, 412-1020 
1312, 475-1020 
1277, 475-1020 
1509, 468-1020 
1332, 475-1020 
5123, 160-1020 
5140, 160-1020 
5037, 160-1020 
5045, 160-1020 
5043, 160-1020 
5140, 160-1020 
1456, 112-1020 
1378, 112-1020 
1440, 117-1020 
1509, 468-1020 
1376, 468-1020 
1312, 433-1020 
2262, 337-1020 
1963, 412-1020 
1986, 412-1020 
1986, 412-1020 
2150, 320-1020 
2351, 320-1020 
1963, 412-1020 
1296, 433-1020 
837, 590-1020 
674, 590-1020 
2801, 340-1020 
674, 590-1020 
1360, 590-1020 
1417, 100-1020 
1978, 598-1020 
1976, 598-1020 
2029, 598-1020 
2058, 430-1020 
1988, 430-1020 
1955, 598-1020 
2291, 330-1020 
1414, 100-1020 
1498, 100-1020 
1504, 100-1020 
2158, 330-1020 
2100, 330-1020 
2339, 330-1020 
2127, 340-1020 
2307, 340-1020 
2273, 340-1020 
668, 125-1020 
2102, 300-1020 
2350, 300-1020 
2236, 300-1020 
1238, 199-1020 
2251, 300-1020 
2103, 300-1020 
2237, 300-1020 
1891, 212-1020 
647, 123-1020 
647, 123-1020 
2309, 380-1020 
1063, 380-1020 
1346, 380-1020 
1460, 123-1020 
2265, 390-1020 
2267, 390-1020 
2349, 390-1020 
2242, 390-1020 
2330, 390-1020 
2209, 196-1020 
2068, 196-1020 
2187, 196-1020 
1286, 430-1020 
2058, 430-1020 
2199, 196-1020 
1272, 199-1020 
805, 375-1020 
2199, 196-1020 
1235, 375-1020 
1345, 375-1020 
2233, 398-1020 
2235, 398-1020 
2235, 398-1020 
1461, 170-1020 
1395, 170-1020 
2278, 398-1020 
2000, 432-1020 
838, 124-1020 
2000, 432-1020 
1305, 432-1020 
1210, 432-1020 
1398, 170-1020 
1810, 177-1020 
1842, 177-1020 
1461, 170-1020 
1460, 170-1020 
1381, 170-1020 
1410, 113-1020 
1377, 113-1020 
2124, 320-1020 
1386, 124-1020 
1945, 124-1020 
628, 113-1020 
2090, 234-1020 
1265, 471-1020 
2226, 367-1020 
2226, 367-1020 
2220, 367-1020 
2184, 470-1020 
1284, 415-1020 
2063, 470-1020 
2184, 470-1020 
2063, 470-1020 
1971, 415-1020 
1964, 427-1020 
1810, 177-1020 
1841, 202-1020 
1857, 202-1020 
1820, 202-1020 
2148, 377-1020 
1503, 174-1020 
5075, 174-1020 
1367, 174-1020 
2221, 385-1020 
2802, 385-1020 
1506, 174-1020 
1251, 444-1020 
1421, 100-1020 
1435, 100-1020 
1471, 100-1020 
1455, 125-1020 
2197, 210-1020 
1842, 210-1020 
2194, 210-1020 
1813, 210-1020 
1330, 375-1020 
2264, 375-1020 
1235, 375-1020 
1901, 230-1020 
1813, 230-1020 
1829, 227-1020 
1828, 227-1020 
1887, 227-1020 
1828, 227-1020 
5066, 140-1020 
5125, 140-1020 
5127, 140-1020 
1822, 204-1020 
5070, 140-1020 
5133, 130-1020 
2219, 385-1020 
2259, 385-1020 
5150, 130-1020 
5003, 130-1020 
1844, 204-1020 
1211, 375-1020 
2337, 375-1020 
1330, 375-1020 
2264, 375-1020 
2337, 375-1020 
1900, 204-1020 
1841, 204-1020 
5018, 222-1020 
5131, 222-1020 
830, 345-1020 
5147, 222-1020 
5015, 222-1020 
5015, 222-1020 
2335, 345-1020 
819, 345-1020 
