1943, 444-1020 
2340, 353-1020 
817, 322-1020 
2334, 322-1020 
2240, 322-1020 
1507, 453-1020 
1473, 453-1020 
1392, 453-1020 
1319, 123-1020 
1861, 203-1020 
1865, 203-1020 
647, 123-1020 
1423, 113-1020 
1425, 113-1020 
647, 123-1020 
1865, 203-1020 
1484, 135-1020 
1496, 135-1020 
1437, 453-1020 
638, 135-1020 
1888, 203-1020 
2247, 354-1020 
2259, 354-1020 
2299, 340-1020 
2204, 340-1020 
2317, 340-1020 
2252, 340-1020 
1465, 122-1020 
2217, 340-1020 
2348, 340-1020 
2248, 340-1020 
2336, 340-1020 
2217, 340-1020 
2204, 340-1020 
2318, 340-1020 
2348, 340-1020 
1940, 104-1020 
2131, 393-1020 
1982, 104-1020 
2106, 198-1020 
2162, 198-1020 
1513, 779 
1506, 131-1020 
1802, 223-1020 
1802, 223-1020 
1883, 227-1020 
1883, 227-1020 
1822, 227-1020 
1873, 227-1020 
1978, 116-1020 
2019, 116-1020 
1942, 116-1020 
2019, 116-1020 
5039, 132-1020 
5044, 150-1020 
5056, 150-1020 
5086, 150-1020 
5070, 150-1020 
1397, 460-1020 
1392, 100-1020 
1516, 100-1020 
1401, 100-1020 
1954, 174-1020 
632, 174-1020 
2215, 335-1020 
1515, 174-1020 
2094, 196-1020 
2032, 196-1020 
2034, 196-1020 
2286, 335-1020 
2267, 335-1020 
829, 350-1020 
1450, 125-1020 
1430, 125-1020 
1436, 125-1020 
1845, 204-1020 
1845, 204-1020 
1837, 204-1020 
1394, 170-1020 
1394, 170-1020 
1413, 170-1020 
1445, 170-1020 
1816, 204-1020 
1828, 204-1020 
1884, 204-1020 
1857, 204-1020 
1837, 204-1020 
1488, 170-1020 
5071, 130-1020 
5130, 130-1020 
5142, 130-1020 
5120, 130-1020 
5127, 120-1020 
5134, 120-1020 
1935, 170-1020 
706, 120-1020 
5148, 130-1020 
5041, 130-1020 
1466, 120-1020 
2158, 196-1020 
1984, 196-1020 
662, 180-1020 
1456, 180-1020 
5123, 180-1020 
5085, 180-1020 
1385, 180-1020 
1449, 110-1020 
2234, 338-1020 
1481, 110-1020 
1456, 110-1020 
1492, 110-1020 
1387, 152-1020 
1412, 152-1020 
1284, 428-1020 
2093, 471-1020 
1241, 471-1020 
1267, 471-1020 
2278, 330-1020 
2098, 330-1020 
2171, 330-1020 
2013, 598-1020 
1939, 598-1020 
1983, 598-1020 
1979, 598-1020 
1239, 428-1020 
1237, 428-1020 
2093, 428-1020 
2087, 428-1020 
1238, 428-1020 
1312, 428-1020 
2087, 428-1020 
1060, 783 
1408, 776 
2263, 337-1020 
1345, 774 
2131, 357-1020 
2298, 357-1020 
5131, 132-1020 
2239, 336-1020 
2320, 397-1020 
2320, 397-1020 
2083, 432-1020 
705, 156-1020 
1255, 783 
1237, 432-1020 
1237, 432-1020 
1951, 598-1020 
1449, 100-1020 
1428, 100-1020 
1461, 150-1020 
5119, 150-1020 
1519, 460-1020 
1455, 460-1020 
2091, 599-1020 
1218, 379-1020 
5128, 140-1020 
5007, 140-1020 
5053, 140-1020 
1421, 174-1020 
5146, 140-1020 
5063, 140-1020 
1301, 430-1020 
5045, 140-1020 
5147, 140-1020 
1334, 430-1020 
2310, 335-1020 
2060, 444-1020 
1995, 444-1020 
824, 335-1020 
1207, 444-1020 
1052, 444-1020 
1839, 224-1020 
2080, 445-1020 
1016, 445-1020 
1839, 224-1020 
2033, 377-1020 
2150, 377-1020 
2150, 377-1020 
1239, 428-1020 
5151, 161-1020 
1335, 433-1020 
1332, 433-1020 
1335, 433-1020 
2207, 303-1020 
2207, 303-1020 
1465, 778 
2207, 303-1020 
2087, 432-1020 
2064, 432-1020 
2020, 432-1020 
1967, 234-1020 
1017, 360-1020 
1216, 361-1020 
1934, 599-1020 
1962, 599-1020 
1959, 599-1020 
5137, 150-1020 
1954, 175-1020 
649, 175-1020 
5146, 150-1020 
5128, 150-1020 
5137, 150-1020 
834, 175-1020 
2030, 175-1020 
842, 125-1020 
1435, 125-1020 
2079, 599-1020 
1488, 125-1020 
1402, 125-1020 
1325, 361-1020 
1302, 425-1020 
1297, 425-1020 
1482, 117-1020 
1302, 425-1020 
1273, 425-1020 
1297, 425-1020 
2064, 425-1020 
1051, 445-1020 
1442, 155-1020 
1514, 155-1020 
2112, 50-1020 
2113, 50-1020 
1978, 475-1020 
2113, 50-1020 
2105, 50-1020 
2105, 50-1020 
2112, 50-1020 
2112, 50-1020 
1060, 475-1020 
829, 325-1020 
2213, 325-1020 
2222, 325-1020 
2301, 325-1020 
5118, 139-1020 
5088, 139-1020 
5148, 139-1020 
5107, 139-1020 
2193, 359-1020 
2298, 359-1020 
1401, 115-1020 
637, 115-1020 
5154, 139-1020 
2319, 369-1020 
2262, 369-1020 
2257, 369-1020 
2260, 369-1020 
5089, 139-1020 
5098, 139-1020 
5098, 139-1020 
5089, 139-1020 
1631, 66-1020 
5094, 66-1020 
5057, 160-1020 
5097, 66-1020 
5094, 66-1020 
1631, 66-1020 
5097, 66-1020 
5107, 66-1020 
5090, 66-1020 
5138, 160-1020 
5122, 160-1020 
5090, 66-1020 
1975, 172-1020 
5102, 66-1020 
5096, 66-1020 
1313, 172-1020 
1431, 172-1020 
2015, 172-1020 
1313, 172-1020 
2256, 300-1020 
2289, 300-1020 
2194, 300-1020 
2109, 300-1020 
1332, 417-1020 
1234, 417-1020 
1268, 417-1020 
1268, 417-1020 
817, 333-1020 
2152, 333-1020 
2179, 300-1020 
2225, 333-1020 
2285, 333-1020 
2143, 333-1020 
815, 333-1020 
2240, 333-1020 
2219, 333-1020 
1827, 177-1020 
2211, 40-1020 
2114, 40-1020 
2144, 40-1020 
2211, 40-1020 
2211, 40-1020 
2211, 40-1020 
2114, 40-1020 
1290, 746-1023 
1066, 30-1020 
1066, 30-1020 
1066, 30-1020 
1866, 232-1020 
1337, 435-1020 
2114, 232-1020 
1862, 232-1020 
1273, 435-1020 
2144, 40-1020 
1991, 435-1020 
1337, 435-1020 
1819, 215-1020 
842, 184-1020 
1388, 184-1020 
1973, 184-1020 
1436, 184-1020 
1862, 215-1020 
1830, 215-1020 
1989, 184-1020 
1432, 184-1020 
1999, 412-1020 
1935, 412-1020 
1992, 412-1020 
1999, 412-1020 
1610, 111-1020 
1611, 111-1020 
1994, 412-1020 
1610, 111-1020 
1224, 412-1020 
1055, 412-1020 
1222, 412-1020 
1992, 412-1020 
1999, 412-1020 
1055, 412-1020 
1994, 412-1020 
1222, 412-1020 
1991, 412-1020 
1967, 111-1020 
1506, 29-1020 
5034, 29-1020 
5038, 29-1020 
5061, 29-1020 
1827, 177-1020 
1912, 177-1020 
1940, 29-1020 
1894, 177-1020 
826, 346-1020 
5141, 111-1020 
1622, 111-1020 
5046, 111-1020 
5101, 111-1020 
2230, 346-1020 
2163, 346-1020 
1601, 111-1020 
5101, 111-1020 
2321, 398-1020 
2321, 398-1020 
2320, 398-1020 
1211, 412-1020 
1224, 412-1020 
1222, 412-1020 
1211, 412-1020 
2036, 61-1020 
2036, 61-1020 
2042, 61-1020 
2038, 61-1020 
2003, 180-1020 
670, 180-1020 
670, 180-1020 
2002, 180-1020 
2045, 61-1020 
1817, 204-1020 
2044, 61-1020 
1841, 204-1020 
1515, 180-1020 
2140, 330-1020 
833, 330-1020 
2323, 338-1020 
2171, 330-1020 
2181, 353-1020 
2338, 330-1020 
2152, 330-1020 
2189, 338-1020 
2003, 180-1020 
5085, 180-1020 
2323, 338-1020 
1245, 199-1020 
1523, 199-1020 
1212, 199-1020 
1523, 199-1020 
2169, 199-1020 
1232, 199-1020 
1245, 199-1020 
2169, 199-1020 
1212, 199-1020 
807, 390-1020 
2319, 390-1020 
2224, 390-1020 
2226, 390-1020 
2301, 390-1020 
2257, 390-1020 
2333, 390-1020 
2803, 390-1020 
2119, 199-1020 
5057, 120-1020 
1434, 120-1020 
1941, 120-1020 
1941, 120-1020 
1453, 120-1020 
1469, 120-1020 
2102, 199-1020 
1333, 199-1020 
1339, 199-1020 
1232, 199-1020 
1453, 120-1020 
838, 120-1020 
1229, 199-1020 
2119, 199-1020 
2307, 353-1020 
1252, 444-1020 
1323, 444-1020 
1207, 444-1020 
1995, 444-1020 
2060, 444-1020 
1323, 444-1020 
